glyph_name,ps_name
Gcaron,Gcaron
gcaron,gcaron
Gcircumflex,Gcircumflex
gcircumflex,gcircumflex
Gcommaaccent,Gcommaaccent
gcommaaccent,gcommaaccent
Gdotaccent,Gdotaccent
gdotaccent,gdotaccent
Germandbls,Germandbls
germandbls,germandbls
Gmacron,Gmacron
gmacron,gmacron
grave,grave
gravecmb,gravecmb
gravecmb.cap,gravecmb.cap
gravemod,gravemod
greater,greater
greaterequal,greaterequal
gscript,gscript
guarani,guarani
guillemotleft,guillemotleft
guillemotright,guillemotright
guilsinglleft,guilsinglleft
guilsinglright,guilsinglright
H,H
h,h
h.sups,h.sups
Hbar,Hbar
hbar,hbar
Hbrevebelow,Hbrevebelow
hbrevebelow,hbrevebelow
Hcircumflex,Hcircumflex
hcircumflex,hcircumflex
Hdotbelow,Hdotbelow
hdotbelow,hdotbelow
hoicmb,hoicmb
hoicmb.cap,hoicmb.cap
horizontalbar,horizontalbar
horncmb,horncmb
hryvnia,hryvnia
hungarumlaut,hungarumlaut
hungarumlautcmb,hungarumlautcmb
hungarumlautcmb.cap,hungarumlautcmb.cap
hyphen,hyphen
hyphen.sups,hyphen.sups
I,I
i,i
i.sups,i.sups
Iacute,Iacute
iacute,iacute
Icaron,Icaron
icaron,icaron
Icircumflex,Icircumflex
icircumflex,icircumflex
Idieresis,Idieresis
idieresis,idieresis
idieresis.narrow,idieresis.narrow
Idotaccent,Idotaccent
Idotbelow,Idotbelow
idotbelow,idotbelow
Igrave,Igrave
igrave,igrave
Ihoi,Ihoi
ihoi,ihoi
Imacron,Imacron
imacron,imacron
infinity,infinity
integral,integral
Iogonek,Iogonek
iogonek,iogonek
Itilde,Itilde
itilde,itilde
J,J
j,j
j.sups,j.sups
Jcircumflex,Jcircumflex
jcircumflex,jcircumflex
K,K
k,k
k.sups,k.sups
Kcommaaccent,Kcommaaccent
kcommaaccent,kcommaaccent
kgreenlandic,kgreenlandic
L,L
l,l
l.sups,l.sups
Lacute,Lacute
lacute,lacute
Lcaron,Lcaron
lcaron,lcaron
Lcommaaccent,Lcommaaccent
lcommaaccent,lcommaaccent
Ldot,Ldot
ldot,ldot
Ldotbelow,Ldotbelow
ldotbelow,ldotbelow
Ldotbelowmacron,Ldotbelowmacron
ldotbelowmacron,ldotbelowmacron
less,less
lessequal,lessequal
lira,lira
liraturkish,liraturkish
litre,litre
Llinebelow,Llinebelow
llinebelow,llinebelow
logicalnot,logicalnot
longs,longs
lozenge,lozenge
Lslash,Lslash
lslash,lslash
M,M
m,m
m.sups,m.sups
macron,macron
macronbelowcmb,macronbelowcmb
macroncmb,macroncmb
macroncmb.cap,macroncmb.cap
macronmod,macronmod
Macute,Macute
macute,macute
Mdotbelow,Mdotbelow
mdotbelow,mdotbelow
minus,minus
mu,mu
multiply,multiply
N,N
n,n
n.sups,n.sups
Nacute,Nacute
nacute,nacute
naira,naira
napostrophe,napostrophe
Ncaron,Ncaron
ncaron,ncaron
Ncommaaccent,Ncommaaccent
ncommaaccent,ncommaaccent
Ndotaccent,Ndotaccent
ndotaccent,ndotaccent
Ndotbelow,Ndotbelow
ndotbelow,ndotbelow
Ngrave,Ngrave
ngrave,ngrave
nine,nine
nine.subs,nine.subs
nine.sups,nine.sups
Nlinebelow,Nlinebelow
nlinebelow,nlinebelow
notequal,notequal
Ntilde,Ntilde
ntilde,ntilde
numbersign,numbersign
numero,numero
O,O
o,o
o.sups,o.sups
Oacute,Oacute
oacute,oacute
